manufacturer_id,manufacturer_name,revenue_million,profit_margin_percent,operational_efficiency,compliance_score,customer_rating,debt_to_equity_ratio,sustainability_index,innovation_index,delivery_timeliness,after_sales_service_rating,defect_rate_percent,capacity_utilization,on_time_delivery_rate,warranty_claim_rate,regulatory_violation_count,certifications_count,contract_breach_count,legal_dispute_count,region_risk_index,market_share_percent,employee_count,training_hours_per_employee,it_system_maturity,supplier_diversity,supply_chain_resilience,carbon_intensity,renewable_energy_ratio,it_incident_rate,data_quality_score,digitization_level,average_lead_time_days,currency_volatility_index,partnership_years,trust_score,trust_status
11,Manufacturer_11,20.086,31.58,0.71,54.838,4.722,2.94,78.102,52.877,0.92,3.037,0.21,82.025,89.14,1.21,6,8,0,2,36.274,4.35,3854,75.29,4.097,63.225,92.251,452.219,92.74,7.46,70.388,67.419,36,54.015,20,0.617,GOOD
12,Manufacturer_12,485.256,26.87,0.52,91.65,3.659,1.35,14.064,72.158,87.754,2.879,8.72,46.025,77.66,4.8,5,19,2,1,45.69,2.91,1911,36.817,2.241,26.492,55.067,66.843,39.55,8.17,90.315,44.377,26,68.577,4,0.631,GOOD
13,Manufacturer_13,417.897,32.83,0.57,95.993,4.362,2.07,36.739,3.576,16.229,3.282,2.53,42.082,65.51,2.42,7,16,3,1,55.89,6.72,927,85.71,2.602,91.986,35.936,482.129,7.48,3.38,83.848,96.909,59,44.056,17,0.568,FAIR
14,Manufacturer_14,114.046,14.98,0.66,77.505,4.773,1.92,54.213,6.14,50.085,2.999,4.47,68.099,89.62,4.65,8,7,3,2,51.229,2.4,1714,32.682,3.899,97.229,11.462,172.235,66.34,4.99,83.386,51.067,48,61.903,16,0.625,GOOD
15,Manufacturer_15,99.094,20.1,0.67,49.948,2.489,0.4,45.434,68.727,92.883,4.519,1.61,68.641,73.76,4.96,8,6,3,2,21.374,2.77,4753,96.121,4.364,78.079,67.127,293.781,39.8,9.46,95.321,90.711,19,28.416,26,0.591,FAIR
16,Manufacturer_16,99.868,5.42,0.95,85.605,3.284,2.27,39.78,33.507,82.098,3.742,6.81,79.284,90.44,2.6,3,10,3,1,14.684,8.45,3688,34.22,1.623,28.871,66.765,324.061,21.78,9.79,67.71,68.644,32,88.423,13,0.782,EXCELLENT
17,Manufacturer_17,159.079,5.21,0.87,22.069,3.3,1.04,71.883,48.883,77.612,2.529,5.5,82.386,75.18,0.52,5,11,4,2,17.813,4.15,4205,39.451,2.169,75.174,27.512,490.36,81.09,5.33,74.018,5.126,38,81.236,24,0.648,GOOD
18,Manufacturer_18,267.131,12.2,0.99,28.22,3.063,2.42,5.45,78.199,60.545,2.708,3.71,70.527,67.0,4.07,3,6,3,0,37.048,11.51,669,93.791,4.541,64.377,48.092,351.435,76.88,6.79,63.899,68.319,29,71.554,2,0.63,GOOD
19,Manufacturer_19,221.653,8.02,0.8,72.91,2.027,1.86,47.141,57.716,43.627,2.161,5.4,82.482,94.12,3.09,2,17,4,2,71.233,6.98,666,56.706,4.31,94.991,98.545,473.055,74.72,3.88,89.94,1.067,47,62.672,16,0.622,GOOD
20,Manufacturer_20,152.702,12.81,0.62,43.3,4.448,1.02,26.218,80.526,44.604,2.899,1.77,55.014,62.07,0.46,6,2,1,1,66.505,6.25,1302,45.13,1.773,6.668,43.503,203.071,89.96,2.24,70.391,67.38,52,30.966,14,0.544,FAIR
21,Manufacturer_21,309.808,10.31,0.66,96.111,2.335,1.13,8.462,41.916,8.697,4.009,7.78,48.622,74.62,2.5,8,11,3,1,60.715,7.17,1107,31.641,2.783,2.96,66.857,206.73,51.9,2.4,85.783,84.452,5,22.246,2,0.616,GOOD
22,Manufacturer_22,78.352,5.86,0.66,54.885,4.986,2.22,46.489,28.742,6.479,2.549,2.73,95.888,86.9,3.35,6,16,0,1,16.597,11.69,3321,32.176,2.375,1.241,71.539,449.433,88.03,7.38,71.614,11.153,36,34.763,9,0.587,FAIR
23,Manufacturer_23,153.151,32.28,0.66,54.349,4.319,1.7,17.137,23.484,84.344,2.298,6.19,62.396,95.45,2.27,9,4,3,2,9.381,0.24,1386,94.826,2.717,85.523,37.232,77.025,69.62,8.64,61.141,75.247,48,59.387,27,0.677,GOOD
24,Manufacturer_24,189.517,5.25,0.84,74.246,3.74,2.04,25.822,13.168,40.865,2.963,9.0,45.404,66.44,2.93,3,18,0,2,17.99,1.36,3147,31.191,3.261,69.222,80.858,308.188,49.23,6.61,98.024,69.09,57,41.882,25,0.622,GOOD
25,Manufacturer_25,233.474,27.08,0.77,81.405,2.464,0.56,50.701,3.68,5.402,3.838,0.48,89.627,63.84,4.68,9,6,2,1,79.56,7.46,2002,86.313,1.492,67.664,77.74,98.56,64.41,1.46,76.911,39.499,44,73.632,10,0.586,FAIR
26,Manufacturer_26,394.736,9.56,0.69,58.045,3.546,2.38,97.371,5.315,66.305,3.418,3.94,76.786,72.09,0.79,3,8,2,2,78.988,8.76,2338,31.25,2.703,76.072,19.919,187.879,62.02,2.25,53.427,20.098,49,63.098,17,0.632,GOOD
27,Manufacturer_27,107.84,32.37,0.57,37.12,2.783,1.03,68.426,27.1,68.33,2.997,1.44,75.517,70.25,2.47,8,13,4,0,68.095,1.01,1809,99.433,3.826,97.312,19.171,413.254,77.13,4.77,56.462,69.046,27,91.416,3,0.58,FAIR
28,Manufacturer_28,261.975,31.78,0.51,81.865,2.757,1.9,27.962,27.841,22.744,4.649,9.1,47.957,87.77,0.14,5,6,0,2,89.997,8.28,4272,51.434,1.798,53.771,60.899,400.853,91.51,3.11,79.635,4.286,10,82.95,27,0.504,FAIR
29,Manufacturer_29,300.283,24.62,0.61,45.628,4.489,0.43,38.241,38.178,41.072,3.406,3.66,85.443,69.51,2.24,8,6,0,0,4.769,5.87,2391,62.03,3.921,35.982,16.761,441.927,27.59,8.29,60.699,59.403,34,52.562,26,0.535,FAIR
30,Manufacturer_30,32.761,25.17,0.55,34.009,3.142,1.03,40.613,59.162,57.342,3.365,2.21,52.217,84.96,1.11,1,9,2,2,64.949,7.91,3982,89.278,1.681,22.164,37.126,396.873,70.87,0.85,83.554,52.222,58,15.993,24,0.618,GOOD
31,Manufacturer_31,307.697,5.16,0.89,70.531,3.352,1.98,15.364,75.93,59.628,2.095,6.8,42.525,86.24,1.21,1,19,2,1,82.612,1.9,2753,65.2,4.698,6.296,65.746,299.777,16.38,6.81,66.654,87.346,25,79.592,6,0.656,GOOD
32,Manufacturer_32,93.557,34.55,0.56,27.236,4.529,0.9,16.065,19.771,51.112,3.918,5.48,49.664,92.22,1.23,6,17,3,2,52.071,12.64,470,71.457,4.206,40.077,69.655,179.397,1.69,6.81,54.65,4.025,54,54.72,18,0.595,FAIR
33,Manufacturer_33,41.875,31.33,0.86,97.708,2.263,2.65,14.839,75.925,36.42,3.378,8.19,82.034,84.14,3.82,8,11,4,0,41.23,3.97,607,44.155,4.596,55.044,86.541,234.073,65.54,0.42,75.698,85.214,6,73.168,12,0.563,FAIR
34,Manufacturer_34,474.954,31.85,0.69,70.592,3.784,2.02,52.166,13.899,6.882,2.435,7.56,87.47,96.84,2.59,6,1,0,0,68.157,3.29,714,41.758,4.708,73.016,93.506,98.192,85.2,5.44,98.712,34.192,55,44.307,14,0.676,GOOD
35,Manufacturer_35,483.16,24.78,0.54,98.872,3.735,2.62,67.419,98.869,2.228,2.731,9.75,54.796,87.68,1.96,1,18,1,2,71.045,14.41,199,82.113,2.096,97.675,58.35,215.42,91.09,4.39,76.288,76.649,58,67.598,14,0.572,FAIR
36,Manufacturer_36,406.115,15.34,0.91,47.111,3.276,1.25,59.072,28.503,45.953,2.607,1.0,58.902,69.7,0.1,5,8,1,2,67.857,3.48,2528,38.602,1.041,69.04,66.223,460.43,43.65,7.75,74.111,45.042,49,12.503,3,0.71,EXCELLENT
37,Manufacturer_37,159.261,31.81,0.79,97.696,4.489,0.2,97.777,83.734,20.294,2.366,0.89,49.764,97.59,4.19,2,12,4,0,95.99,14.12,4199,87.157,4.155,34.411,19.381,165.436,83.4,8.51,63.562,12.163,14,79.418,19,0.78,EXCELLENT
38,Manufacturer_38,57.859,13.75,0.62,31.645,4.829,1.77,12.587,19.047,93.849,3.307,9.08,67.165,67.6,0.1,1,3,1,1,96.753,3.9,170,65.9,2.764,0.083,94.455,140.317,4.89,7.04,86.043,26.413,13,16.984,17,0.597,FAIR
39,Manufacturer_39,345.274,21.88,0.95,23.256,3.396,1.08,98.647,95.064,64.042,3.09,9.56,53.203,67.44,4.06,1,12,2,2,62.929,8.22,4515,33.791,4.632,99.314,70.425,165.548,19.68,7.44,77.247,73.989,23,95.188,8,0.543,FAIR
40,Manufacturer_40,225.675,7.99,0.52,22.639,3.368,1.4,46.667,82.663,58.551,3.08,4.13,99.046,89.69,3.66,5,11,3,2,96.503,11.26,3999,25.94,1.608,83.795,71.96,129.186,35.5,5.1,88.879,81.931,8,87.054,18,0.523,FAIR
41,Manufacturer_41,69.799,32.66,0.6,57.19,3.506,2.08,21.863,35.939,40.655,2.755,4.61,86.018,80.76,0.69,5,10,2,2,92.747,3.51,4368,88.961,4.246,25.081,48.459,394.14,29.94,8.24,79.127,65.903,5,16.695,4,0.643,GOOD
42,Manufacturer_42,252.637,9.22,0.88,26.64,4.169,2.13,94.328,42.147,32.953,3.309,3.75,75.827,66.4,3.14,6,15,2,1,22.767,9.58,4504,99.354,3.913,83.995,8.683,159.476,0.8,1.23,61.107,32.92,15,69.943,2,0.587,FAIR
43,Manufacturer_43,26.85,11.75,0.85,60.973,4.004,0.18,46.861,0.384,17.981,3.643,7.8,83.28,64.56,0.15,9,2,4,0,73.006,14.92,1208,60.097,3.439,53.827,40.843,284.619,13.39,2.62,97.621,36.428,6,3.825,3,0.548,FAIR
44,Manufacturer_44,455.567,21.74,0.64,46.2,2.669,2.33,34.735,25.143,6.014,3.835,7.73,50.015,66.78,1.2,6,2,2,2,32.243,11.85,1466,32.859,2.243,95.634,14.465,391.716,81.58,1.37,69.091,78.014,39,15.717,22,0.541,FAIR
45,Manufacturer_45,136.802,27.92,0.53,46.85,2.192,1.53,21.381,28.93,63.45,2.659,2.28,84.616,97.06,1.28,9,17,4,2,79.866,13.14,1815,33.089,4.534,99.151,17.012,401.08,23.58,9.8,80.151,84.633,37,98.614,24,0.513,FAIR
46,Manufacturer_46,334.636,23.58,0.93,70.849,4.848,1.71,26.788,45.274,77.92,4.184,3.9,60.78,83.46,4.91,9,17,4,0,30.015,5.31,3013,97.71,4.885,37.994,44.547,353.268,42.0,5.09,92.324,20.81,12,27.201,16,0.583,FAIR
47,Manufacturer_47,162.738,11.96,0.66,33.048,2.783,0.96,97.922,13.905,85.776,2.081,2.2,68.173,89.17,2.9,4,7,0,1,23.076,11.72,809,52.91,3.565,20.909,99.717,289.769,93.57,3.32,84.121,64.582,59,50.41,7,0.723,EXCELLENT
48,Manufacturer_48,264.833,5.03,0.6,81.324,3.916,1.32,30.397,47.877,72.431,4.251,0.56,93.117,65.12,0.14,3,10,3,0,97.126,13.18,3865,83.759,1.424,74.832,22.759,387.548,5.8,0.31,61.794,3.306,45,90.409,24,0.758,EXCELLENT
49,Manufacturer_49,277.888,27.71,0.76,66.562,4.485,2.16,97.781,66.847,89.695,2.849,0.66,96.653,75.17,0.73,4,15,4,1,27.144,1.26,3986,79.797,2.986,23.493,96.779,492.454,67.99,6.24,71.065,63.192,47,5.904,10,0.795,EXCELLENT
50,Manufacturer_50,100.579,34.56,0.96,93.196,2.901,2.35,33.021,37.128,98.281,3.11,1.55,86.114,82.28,1.04,1,3,1,1,70.299,7.6,801,40.002,2.194,11.808,78.121,101.48,16.19,3.0,74.321,76.8,20,71.625,22,0.95,EXCELLENT
51,Manufacturer_51,485.096,29.3,0.52,49.187,3.906,1.22,23.142,23.22,96.167,3.742,0.4,86.055,80.39,4.13,0,18,1,2,5.515,14.74,512,71.134,1.902,30.417,28.676,210.114,11.68,7.19,50.268,70.386,7,53.715,27,0.73,EXCELLENT
52,Manufacturer_52,389.815,18.81,0.88,98.617,2.324,2.1,18.336,54.772,59.223,3.831,4.29,84.672,74.9,3.43,8,6,4,2,49.979,10.7,1999,79.581,4.24,57.935,95.264,49.569,47.57,3.64,88.592,98.935,35,86.811,12,0.711,EXCELLENT
53,Manufacturer_53,470.354,32.11,0.79,66.066,4.91,0.85,41.185,2.9,22.42,3.263,0.73,77.584,63.83,2.47,4,19,3,0,51.607,1.29,2517,80.884,4.337,63.47,93.391,499.144,90.76,0.19,50.861,62.976,49,49.804,25,0.659,GOOD
54,Manufacturer_54,448.465,17.3,0.71,97.872,2.174,2.51,23.681,34.084,10.636,4.814,8.49,51.733,87.32,4.07,2,2,0,1,75.302,11.44,487,95.241,2.261,34.288,18.162,81.975,49.49,5.59,61.384,64.074,31,94.393,27,0.554,FAIR
55,Manufacturer_55,302.971,20.75,0.87,22.165,3.315,1.87,69.694,52.759,99.392,4.575,7.15,75.306,83.92,2.42,9,1,2,1,68.442,1.06,4801,58.918,2.996,75.369,78.09,124.023,48.18,0.76,62.219,83.835,33,8.707,9,0.561,FAIR
56,Manufacturer_56,461.718,19.31,0.98,78.238,3.61,2.35,23.977,33.584,30.839,2.675,7.86,43.396,76.82,4.1,9,16,3,1,63.576,4.35,2907,27.902,2.955,15.618,12.547,72.75,18.59,0.85,90.104,80.315,54,2.923,4,0.586,FAIR
57,Manufacturer_57,53.361,18.43,0.61,85.33,4.371,1.48,83.54,34.543,3.397,3.767,6.21,41.842,97.08,1.17,9,8,1,0,28.479,7.37,994,27.239,3.187,45.418,77.081,238.609,99.14,1.32,65.917,80.701,5,85.567,10,0.62,GOOD
58,Manufacturer_58,106.032,28.26,0.57,24.254,2.363,0.76,83.401,84.83,39.105,4.163,6.67,90.28,90.24,4.65,0,8,0,2,43.319,3.98,2543,67.388,3.32,90.247,77.695,496.864,59.07,5.91,51.373,16.319,13,99.199,10,0.514,FAIR
59,Manufacturer_59,32.161,20.8,0.96,66.318,3.322,1.34,28.553,93.399,74.81,2.651,1.22,72.432,74.59,4.79,3,8,2,2,59.648,0.52,4457,84.449,2.891,55.719,98.618,21.013,92.58,8.43,58.225,94.72,9,44.424,4,0.627,GOOD
60,Manufacturer_60,169.412,14.5,0.83,84.155,2.899,1.21,75.354,82.739,89.08,2.055,0.68,40.983,62.11,3.23,1,7,0,1,39.481,6.64,485,31.242,3.404,75.922,18.552,221.234,39.16,6.34,91.962,48.768,35,77.449,26,0.75,EXCELLENT
61,Manufacturer_61,200.452,12.74,0.72,64.883,2.936,1.06,85.755,9.887,47.756,4.927,9.89,56.363,92.02,3.21,6,16,4,2,88.174,11.15,243,86.06,4.351,96.715,44.128,360.632,48.15,9.75,75.478,49.524,33,29.29,16,0.531,FAIR
62,Manufacturer_62,142.961,6.13,0.79,25.105,4.336,0.72,59.013,28.974,29.403,4.875,3.79,80.976,77.61,2.87,8,19,3,0,91.181,4.94,4518,98.148,2.888,17.043,18.377,43.412,61.91,8.51,84.426,60.636,32,16.522,27,0.463,FAIR
63,Manufacturer_63,416.081,22.5,0.87,75.476,2.016,2.3,36.633,71.129,77.84,2.961,0.61,96.361,78.89,2.22,7,3,4,1,50.909,8.85,4823,99.293,2.864,69.66,99.869,445.257,54.86,8.67,58.863,63.73,43,54.048,15,0.737,EXCELLENT
64,Manufacturer_64,184.809,11.9,0.89,24.848,4.247,0.35,44.097,97.439,50.377,2.717,1.68,90.646,83.49,0.98,6,17,0,1,11.762,4.58,3762,88.692,2.001,84.686,91.713,279.477,45.82,1.1,81.97,43.413,14,58.311,27,0.638,GOOD
65,Manufacturer_65,147.658,9.44,0.96,85.398,4.431,2.67,78.623,24.228,8.603,2.464,8.75,66.707,86.42,1.04,7,16,2,1,24.113,1.08,3474,10.803,2.866,2.699,8.667,432.043,67.33,7.72,65.05,65.866,48,0.46,16,0.787,EXCELLENT
66,Manufacturer_66,275.921,24.61,0.71,23.443,4.704,0.61,29.332,89.821,88.775,4.061,2.14,57.134,84.35,3.3,9,5,0,1,94.332,14.31,2055,10.742,4.13,14.425,0.117,225.336,88.45,0.82,58.791,89.79,12,74.993,20,0.651,GOOD
67,Manufacturer_67,79.053,25.44,0.65,30.992,3.881,2.94,33.446,73.901,65.581,4.266,4.72,58.607,71.25,2.39,4,11,1,2,79.87,7.79,2801,94.586,4.584,84.028,77.211,241.223,37.38,4.92,61.791,53.941,12,29.686,28,0.594,FAIR
68,Manufacturer_68,403.077,27.56,0.82,42.009,3.0,2.97,16.078,98.345,3.681,3.261,6.71,84.018,67.12,1.21,0,3,3,0,72.318,14.56,2761,19.79,1.623,84.484,1.563,83.432,90.41,8.81,83.521,26.527,26,7.851,6,0.574,FAIR
69,Manufacturer_69,46.53,20.11,0.71,70.669,3.282,1.26,39.905,9.359,0.906,2.728,9.66,88.266,61.12,0.55,6,14,0,0,37.573,14.81,2799,34.278,2.592,77.238,15.288,173.503,78.91,2.27,95.457,73.166,16,58.192,28,0.496,FAIR
70,Manufacturer_70,493.575,31.82,0.8,98.109,4.909,2.96,8.652,39.475,8.772,3.346,0.24,61.928,60.52,4.8,0,18,2,2,35.29,10.92,2766,89.891,4.388,12.419,85.312,451.299,45.59,0.77,97.53,7.035,36,29.874,9,0.665,GOOD
71,Manufacturer_71,388.4,33.09,0.71,29.426,4.644,2.62,32.103,47.812,82.196,3.549,4.93,77.372,95.55,3.47,0,9,0,1,55.772,1.74,2176,45.772,4.609,14.481,8.041,487.757,38.14,7.26,69.347,85.177,26,43.894,17,0.645,GOOD
72,Manufacturer_72,107.371,29.22,0.58,31.417,3.391,0.34,37.348,67.208,48.131,3.63,9.96,84.737,99.78,1.03,3,8,1,1,56.433,8.98,4702,35.466,1.004,45.956,64.714,362.109,72.31,6.2,51.222,31.037,15,82.891,13,0.525,FAIR
73,Manufacturer_73,12.706,24.07,0.73,49.51,4.829,2.85,25.548,65.397,33.53,3.33,1.31,90.742,74.31,3.77,0,4,0,1,60.355,13.63,734,24.623,1.295,48.099,96.41,188.872,47.44,9.5,69.925,0.33,40,40.118,9,0.601,GOOD
74,Manufacturer_74,409.576,14.11,0.85,86.898,4.469,0.22,10.136,90.635,24.929,2.011,1.32,78.455,68.52,0.93,0,18,4,0,57.392,11.81,236,88.629,2.645,11.664,6.941,14.789,88.18,8.97,87.694,12.456,35,0.772,14,0.833,EXCELLENT
75,Manufacturer_75,356.36,34.49,0.9,57.378,4.703,0.63,52.167,83.867,50.686,3.415,0.96,91.858,75.97,2.99,0,1,0,1,31.847,13.32,3060,58.133,1.511,94.006,85.029,456.009,87.02,3.04,95.73,36.853,55,82.307,8,0.706,EXCELLENT
76,Manufacturer_76,367.214,13.22,0.75,45.729,4.049,1.8,86.508,5.537,8.304,3.042,5.13,56.893,64.13,2.88,8,14,0,1,18.062,0.62,4556,33.416,3.659,61.597,45.343,489.603,18.81,8.35,83.132,94.682,21,69.182,15,0.591,FAIR
77,Manufacturer_77,387.922,11.08,0.58,64.896,4.573,0.33,33.564,48.654,61.718,3.67,3.55,81.927,85.19,0.63,1,15,3,2,97.073,11.86,4652,58.602,4.465,29.85,27.172,397.955,94.24,4.85,54.999,10.224,43,85.514,27,0.695,GOOD
78,Manufacturer_78,46.282,18.26,0.71,40.842,4.675,0.57,23.68,40.706,38.053,2.208,7.19,64.123,69.0,3.35,9,3,0,2,9.198,9.41,3368,94.319,4.131,92.73,81.307,490.847,41.01,7.19,50.459,27.011,46,22.044,28,0.537,FAIR
79,Manufacturer_79,185.648,6.71,0.89,52.093,2.276,2.87,28.504,99.714,85.844,4.638,5.76,95.718,72.7,2.83,1,13,4,0,81.777,14.73,2063,17.237,1.798,81.525,76.406,310.373,64.28,0.35,63.444,23.971,9,35.241,26,0.677,GOOD
80,Manufacturer_80,66.776,34.35,0.71,46.608,4.896,2.98,86.189,42.726,75.443,4.626,5.85,53.127,94.22,4.03,9,7,0,0,19.692,8.33,1166,59.459,4.736,95.632,23.162,186.329,63.62,5.3,63.037,23.003,55,24.77,10,0.687,GOOD
81,Manufacturer_81,432.921,22.65,0.85,84.331,3.001,2.41,52.781,68.262,1.837,3.692,5.16,87.242,82.76,4.55,5,9,3,1,95.362,6.05,2007,65.039,1.276,19.593,87.868,353.72,40.03,3.38,61.457,9.571,46,67.767,27,0.46,FAIR
82,Manufacturer_82,315.416,21.71,0.75,93.94,3.32,1.59,13.079,28.443,16.65,4.211,9.92,95.899,65.39,3.57,0,8,2,1,49.935,11.31,3426,21.163,2.413,69.522,32.621,219.523,36.5,7.54,94.121,43.965,20,67.817,5,0.646,GOOD
83,Manufacturer_83,172.14,24.67,0.62,80.766,4.376,2.71,70.922,61.463,47.403,3.314,5.44,80.947,63.82,1.59,4,14,4,2,33.806,4.26,2042,70.996,1.392,91.198,23.439,412.56,81.85,1.02,86.279,51.203,56,53.254,25,0.624,GOOD
84,Manufacturer_84,41.144,19.91,0.9,55.127,3.995,0.42,15.437,20.663,65.868,3.771,0.82,87.341,86.17,1.7,8,11,3,0,91.893,13.91,1992,78.136,3.202,97.262,56.168,333.191,16.34,7.64,52.832,33.917,35,88.257,3,0.683,GOOD
85,Manufacturer_85,162.381,5.96,0.54,60.347,4.679,2.83,6.024,60.361,71.513,3.853,3.29,93.169,66.51,1.63,3,7,0,1,34.053,6.21,4536,77.434,1.425,76.625,7.687,139.467,40.19,7.47,98.646,62.647,7,14.101,20,0.635,GOOD
86,Manufacturer_86,169.34,23.37,0.76,30.006,3.202,1.12,25.568,86.819,81.624,3.062,7.83,58.572,67.87,4.33,0,16,0,2,52.812,4.58,2715,25.46,4.089,37.613,82.715,153.255,1.68,4.32,68.56,47.309,48,74.083,6,0.509,FAIR
87,Manufacturer_87,367.507,26.49,0.6,79.749,3.12,2.6,16.809,1.924,4.922,4.883,6.32,47.471,84.07,2.47,8,18,1,1,79.983,11.03,421,67.36,3.967,14.227,51.121,196.768,17.59,5.41,99.299,24.442,13,53.223,11,0.507,FAIR
88,Manufacturer_88,322.403,17.5,0.53,67.718,2.095,2.04,60.5,50.459,1.848,3.808,6.87,96.19,96.42,4.8,7,3,2,1,74.732,13.68,522,62.535,4.74,96.143,78.499,131.964,35.51,4.46,95.346,33.618,49,48.373,23,0.446,FAIR
89,Manufacturer_89,444.734,27.72,0.75,92.195,3.388,2.88,48.457,98.237,60.051,4.972,9.23,42.25,81.66,3.31,7,10,3,1,89.526,1.93,3593,31.576,1.546,40.837,32.497,281.472,39.04,3.32,78.812,98.804,9,63.889,29,0.594,FAIR
90,Manufacturer_90,241.385,11.81,0.75,36.049,4.172,2.61,72.406,15.926,72.383,3.297,4.49,69.077,78.73,3.05,6,1,3,1,36.744,4.45,4490,11.314,3.462,7.519,88.782,78.163,4.68,9.0,99.072,0.046,47,86.172,27,0.647,GOOD
91,Manufacturer_91,68.601,11.64,0.85,80.778,2.904,2.67,51.157,18.341,78.67,2.097,0.29,59.348,94.35,4.5,7,4,4,0,20.395,0.84,2641,96.346,3.04,30.443,79.729,393.453,35.26,8.14,98.221,18.765,8,65.757,2,0.76,EXCELLENT
92,Manufacturer_92,359.49,9.84,0.87,74.774,3.388,1.93,41.901,47.082,15.572,2.907,9.9,73.276,71.74,2.99,7,7,1,0,43.456,6.48,4391,82.266,2.207,40.592,45.322,446.887,46.99,3.03,56.156,29.813,21,13.494,29,0.564,FAIR
93,Manufacturer_93,382.785,16.16,0.86,41.268,2.658,2.52,52.622,87.099,96.874,3.952,4.6,99.359,61.38,4.13,5,16,0,0,68.288,1.43,1757,73.281,4.738,75.551,63.383,447.581,33.18,1.44,57.786,55.417,10,20.854,7,0.576,FAIR
94,Manufacturer_94,285.026,30.41,0.7,73.39,4.318,2.3,43.449,56.276,22.943,4.731,1.07,42.744,82.31,2.54,7,2,0,2,26.212,11.83,1464,38.983,4.667,34.807,45.458,154.148,96.5,9.82,60.894,13.688,45,67.143,13,0.711,EXCELLENT
95,Manufacturer_95,387.774,29.84,0.82,93.95,2.182,0.57,3.709,50.871,25.033,3.845,5.53,86.177,65.28,3.03,9,2,1,0,67.766,1.51,4845,52.285,4.337,65.87,61.21,133.507,30.95,3.18,97.66,23.736,57,10.653,27,0.557,FAIR
96,Manufacturer_96,251.96,16.48,0.79,93.475,4.116,1.98,68.07,8.676,15.429,3.415,5.94,41.474,62.42,1.37,3,10,0,1,16.972,10.44,3509,63.534,4.444,8.024,59.983,457.318,87.77,9.93,87.475,70.885,46,56.533,18,0.699,GOOD
